aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
60,50,66.66666667,33.33333333,66.66666667,66.66666667,66.66666667,16.66666667,66.66666667,33.33333333,2
57.5,100,0,33.33333333,100,100,100,83.33333333,66.66666667,16.66666667,4
57.5,100,100,100,83.33333333,100,100,100,50,0,4
70,66.66666667,50,50,50,50,50,50,50,50,3
77.5,100,100,50,0,83.33333333,100,66.66666667,66.66666667,0,2
75,83.33333333,83.33333333,100,83.33333333,100,100,83.33333333,83.33333333,83.33333333,4
90,66.66666667,66.66666667,50,66.66666667,83.33333333,83.33333333,83.33333333,83.33333333,16.66666667,4
90,66.66666667,100,100,100,16.66666667,50,50,100,50,1
85,100,100,100,100,100,100,100,83.33333333,83.33333333,5
82.5,100,83.33333333,100,100,16.66666667,66.66666667,66.66666667,83.33333333,0,5
47.5,100,0,0,50,83.33333333,100,83.33333333,100,16.66666667,4
92.5,100,100,83.33333333,100,100,100,100,83.33333333,50,4
45,100,33.33333333,33.33333333,83.33333333,33.33333333,100,83.33333333,50,0,4
50,100,0,0,0,16.66666667,0,0,33.33333333,0,2
90,100,66.66666667,66.66666667,100,100,100,100,100,83.33333333,4
57.5,100,100,100,100,66.66666667,100,100,100,83.33333333,2
65,33.33333333,0,0,50,83.33333333,50,100,100,33.33333333,4
47.5,33.33333333,50,33.33333333,66.66666667,50,50,50,33.33333333,50,3
57.5,0,83.33333333,50,83.33333333,0,50,33.33333333,66.66666667,0,3
75,100,100,100,100,100,100,100,100,33.33333333,5
67.5,50,50,50,83.33333333,33.33333333,83.33333333,33.33333333,83.33333333,16.66666667,3
67.5,100,100,100,100,100,100,100,83.33333333,100,5
47.5,83.33333333,83.33333333,83.33333333,83.33333333,100,83.33333333,83.33333333,66.66666667,50,4
85,100,100,100,100,100,100,83.33333333,16.66666667,83.33333333,4
65,100,100,50,100,83.33333333,83.33333333,66.66666667,83.33333333,16.66666667,3
55,50,83.33333333,66.66666667,33.33333333,33.33333333,66.66666667,66.66666667,50,50,4
55,100,100,100,83.33333333,50,100,100,83.33333333,0,5
85,100,33.33333333,50,83.33333333,83.33333333,50,33.33333333,83.33333333,0,3
52.5,83.33333333,16.66666667,33.33333333,0,16.66666667,33.33333333,66.66666667,50,50,3
90,100,83.33333333,50,50,100,83.33333333,66.66666667,83.33333333,50,4
42.5,100,83.33333333,100,83.33333333,16.66666667,66.66666667,83.33333333,0,0,3
77.5,100,83.33333333,83.33333333,66.66666667,83.33333333,83.33333333,100,66.66666667,16.66666667,3
35,0,100,83.33333333,16.66666667,0,100,0,0,83.33333333,1
50,50,66.66666667,83.33333333,66.66666667,50,66.66666667,66.66666667,33.33333333,16.66666667,4
