age,gender,exp_name,logic,belief,problem_type,judgments,brightness_rating,validity_rating,brightness,participant,ah4,crt,cog_ability,cog_style
18,Female,brightVal_exp4,Invalid,Unbelievable,Disjunction,Brightness,2,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Conditional,Brightness,4,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Syllogism,Brightness,2,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Conditional,Brightness,4,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Brightness,5,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Syllogism,Brightness,2,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Conditional,Brightness,1,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Syllogism,Brightness,1,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Conditional,Brightness,4,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Conditional,Brightness,3,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Disjunction,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Disjunction,Brightness,3,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Syllogism,Brightness,2,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Conditional,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Syllogism,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Syllogism,Brightness,1,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Conditional,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Syllogism,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Disjunction,Brightness,4,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Conditional,Brightness,4,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Unbelievable,Syllogism,Brightness,2,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Conditional,Brightness,5,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Invalid,Believable,Syllogism,Brightness,4,NA,High,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Believable,Disjunction,Brightness,1,NA,Low,Person_2,30,2,low_ca,high_acs
18,Female,brightVal_exp4,Valid,Unbelievable,Disjunction,Brightness,3,NA,High,Person_2,30,2,low_ca,high_acs
